# File:Corine_LT_km2.csv
# Title: Corine_LT
# Year 2010: TBD how to extrapolate to 2015
# Units: km2
# Original source: https://land.copernicus.eu/pan-european/corine-land-cover
# Description: Land cover from Corine in 2010 per country and GLU
# Column types: ccciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
# ----------
country,iso,glu_code,Agro-forestry areas,Airports,Annual crops associated with permanent crops,Bare rocks,"Beaches, dunes, sands",Broad-leaved forest,Burnt areas,Coastal lagoons,Complex cultivation patterns,Coniferous forest,Construction sites,Continuous urban fabric,Discontinuous urban fabric,Dump sites,Estuaries,Fruit trees and berry plantations,Glaciers and perpetual snow,Green urban areas,Industrial or commercial units,Inland marshes,Peat bogs,Intertidal flats,"Land principally occupied by agriculture, with significant areas of natural vegetation",Mineral extraction sites,Mixed forest,Moors and heathland,Natural grasslands,Non-irrigated arable land,Olive groves,Pastures,Permanently irrigated land,Port areas,Rice fields,Road and rail networks and associated land,Salines,Salt marshes,Sclerophyllous vegetation,Sea and ocean,Sparsely vegetated areas,Sport and leisure facilities,Transitional woodland-shrub,Vineyards,Water bodies
Norway,nor,GLU008,0,85,0,19141,5,34440,13,0,2518,47971,7,32,2603,6,0,0,3515,88,288,5,21954,88,13137,72,6766,49255,6,8375,0,411,0,8,0,15,0,0,0,182,68317,617,9806,0,15138
Norway,nor,GLU012,0,0,0,504,0,1293,0,0,35,4174,0,0,58,0,0,0,9,3,6,0,3470,1,384,0,401,1307,6,597,0,0,0,0,0,0,0,0,0,23,4134,48,611,0,1797
Poland,pol,GLU021,0,0,0,0,0,10,0,0,0,47,0,0,5,0,0,0,0,0,1,0,0,0,0,0,11,0,0,4,0,9,0,1,0,0,0,0,0,0,0,2,1,0,1
Poland,pol,GLU029,0,117,0,1,3,5325,0,0,2086,24944,24,38,5847,86,0,116,0,94,525,238,26,0,3655,230,8555,14,219,41166,0,9593,0,13,0,59,0,0,0,0,58,307,2171,0,1578
Poland,pol,GLU030,0,75,0,25,15,9457,0,0,7201,25649,14,44,9151,43,0,1551,0,86,729,780,63,0,9116,170,14338,17,154,67089,0,17415,0,2,0,82,0,0,0,0,39,300,3585,0,1916
Poland,pol,GLU031,0,0,0,0,0,36,0,0,13,248,0,0,56,8,0,4,0,2,4,1,1,0,59,25,148,0,4,268,0,63,0,0,0,2,0,0,0,0,0,3,84,0,3
Poland,pol,GLU033,0,50,0,0,33,2540,0,0,503,4838,10,8,1180,1,0,25,0,14,83,158,14,0,1536,20,4658,0,0,10158,0,2998,0,15,0,6,0,0,0,0,2,81,672,0,996
Poland,pol,GLU035,0,0,0,0,0,118,0,0,102,753,0,0,42,0,0,0,0,2,5,3,0,0,322,3,266,0,0,889,0,149,0,0,0,0,0,0,0,0,0,1,50,0,91
Poland,pol,GLU049,0,0,0,0,0,73,0,0,14,49,0,0,5,0,0,0,0,0,0,0,0,0,8,0,73,0,1,22,0,54,0,0,0,0,0,0,0,0,0,0,4,0,0
Poland,pol,GLU054,0,0,0,3,0,128,0,0,8,270,0,0,22,0,0,0,0,0,0,1,1,0,17,0,159,17,29,130,0,61,0,0,0,0,0,0,0,0,3,0,24,0,0
Portugal,prt,GLU060,1542,18,1623,7,22,3336,157,19,2102,2938,17,58,1209,5,73,166,0,21,193,9,0,7,1752,58,2840,869,326,2498,242,241,972,10,227,38,42,80,301,0,420,33,4251,435,174
Portugal,prt,GLU071,2244,13,382,6,8,4188,41,0,1952,1290,9,19,523,3,8,91,0,4,108,5,0,0,1653,39,1338,283,104,2039,1184,271,1001,1,203,14,2,2,527,0,18,21,4634,583,123
Portugal,prt,GLU074,82,3,774,4,1,694,138,0,1729,767,26,37,425,1,0,248,0,2,55,0,0,0,3292,24,914,2027,533,1359,591,125,69,1,0,12,0,0,146,0,269,3,4048,753,27
Portugal,prt,GLU081,2222,11,478,0,17,1675,40,4,574,92,11,6,165,2,4,299,0,0,15,3,0,6,1273,26,51,0,23,3180,905,193,188,2,6,1,18,40,1255,0,0,63,2136,189,68
Romania,rom,GLU054,0,41,0,68,131,43424,0,11,8762,12813,27,95,12035,37,0,4075,0,44,1103,3060,0,0,10572,267,10797,842,6231,81025,0,27170,10,18,348,56,0,0,0,30,55,44,3560,3491,1602
Romania,rom,GLU055,0,1,0,0,12,460,0,658,32,2,2,8,180,4,0,8,0,3,46,356,0,0,14,15,1,0,95,2869,0,318,0,7,0,3,0,67,0,55,0,18,58,38,156
Slovakia,svk,GLU030,0,2,0,51,0,245,0,0,53,671,4,0,66,0,0,0,0,0,8,0,2,0,147,1,213,42,26,376,0,251,0,0,0,0,0,0,0,0,30,6,259,0,0
Slovakia,svk,GLU054,0,24,0,10,0,10392,0,0,751,5609,17,10,2924,19,0,162,0,17,387,54,1,0,4426,45,5329,145,332,10159,0,3093,0,2,0,30,0,0,0,0,25,125,1834,308,284
Slovenia,svn,GLU054,0,6,0,135,3,2936,0,0,2459,2170,4,2,378,3,0,34,0,5,59,21,0,0,1486,10,3846,189,67,1075,0,1031,0,0,0,13,0,0,0,0,87,12,178,110,24
Slovenia,svn,GLU055,0,1,0,49,2,1294,0,0,404,414,4,0,51,0,0,4,1,0,8,3,0,0,439,3,861,46,159,26,0,163,0,1,0,8,5,2,0,0,26,4,279,55,3
Sweden,swe,GLU008,0,0,0,25,0,93,0,0,0,186,0,0,0,0,0,0,0,0,0,0,236,0,0,0,112,1148,131,0,0,0,0,0,0,0,0,0,0,0,44,2,259,0,228
Sweden,swe,GLU012,0,240,0,1190,40,15412,19,51,2018,179983,59,62,6646,81,107,31,4,520,1091,807,27929,0,9521,171,22532,14349,1125,40949,0,4139,0,39,0,309,0,21,0,50,1810,870,74201,0,39044
Sweden,swe,GLU021,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
