# File: GCAM_FoodWaste_Share_Pathway_SSP.csv
# Title: Share of food waste per food calorie supply projections by SSP
# Unit: Share
# Description: Base year data derived based on three food groups including animal  FruitsVeg  and other. Projection based on the relatioship with income with a ceiling. Half waste reduction by 2050 is produced
# Source: Derived based on AgMIP and FAO
# Column types: cciinn
# ----------
GCAM_commodity,scenario,GCAM_region_ID,year,WasteShare,HalfWaste2050
Beef,gSSP1,31,2015,0.34738006,0.34738006
Beef,gSSP2,31,2015,0.34738006,0.34738006
Beef,gSSP3,31,2015,0.34738006,0.34738006
Beef,gSSP4,31,2015,0.34738006,0.34738006
Beef,gSSP5,31,2015,0.34738006,0.34738006
Beef,gSSP1,32,2015,0.335897734,0.335897734
Beef,gSSP2,32,2015,0.335897734,0.335897734
Beef,gSSP3,32,2015,0.335897734,0.335897734
Beef,gSSP4,32,2015,0.335897734,0.335897734
Beef,gSSP5,32,2015,0.335897734,0.335897734
Beef,SSP1,1,2020,0.366521026,0.366521026
Beef,SSP1,1,2025,0.370504722,0.337426536
Beef,SSP1,1,2030,0.374077271,0.308332046
Beef,SSP1,1,2035,0.3772208,0.279237557
Beef,SSP1,1,2040,0.379869346,0.250143067
Beef,SSP1,1,2045,0.382104545,0.221048577
Beef,SSP1,1,2050,0.383908175,0.191954088
Beef,SSP1,1,2055,0.385537218,0.191954088
Beef,SSP1,1,2060,0.387127941,0.191954088
Beef,SSP1,1,2065,0.388762119,0.191954088
Beef,SSP1,1,2070,0.390292466,0.191954088
Beef,SSP1,1,2075,0.391749677,0.191954088
Beef,SSP1,1,2080,0.393338513,0.191954088
Beef,SSP1,1,2085,0.394989232,0.191954088
Beef,SSP1,1,2090,0.396702638,0.191954088
Beef,SSP1,1,2095,0.398514466,0.191954088
Beef,SSP1,1,2100,0.400405365,0.191954088
Beef,SSP2,1,2020,0.366521026,0.366521026
Beef,SSP2,1,2025,0.369886837,0.337051802
Beef,SSP2,1,2030,0.372508512,0.307582579
Beef,SSP2,1,2035,0.374621654,0.278113356
Beef,SSP2,1,2040,0.376454267,0.248644133
Beef,SSP2,1,2045,0.378066782,0.219174909
Beef,SSP2,1,2050,0.379411372,0.189705686
Beef,SSP2,1,2055,0.38067318,0.189705686
Beef,SSP2,1,2060,0.381940475,0.189705686
Beef,SSP2,1,2065,0.383270293,0.189705686
Beef,SSP2,1,2070,0.38452219,0.189705686
Beef,SSP2,1,2075,0.385722549,0.189705686
Beef,SSP2,1,2080,0.387003192,0.189705686
Beef,SSP2,1,2085,0.388267943,0.189705686
Beef,SSP2,1,2090,0.389523081,0.189705686
Beef,SSP2,1,2095,0.390779619,0.189705686
Beef,SSP2,1,2100,0.39204454,0.189705686
Beef,SSP3,1,2020,0.366521026,0.366521026
Beef,SSP3,1,2025,0.369792138,0.337020526
Beef,SSP3,1,2030,0.372313645,0.307520027
Beef,SSP3,1,2035,0.37433593,0.278019527
Beef,SSP3,1,2040,0.376107773,0.248519028
Beef,SSP3,1,2045,0.377713552,0.219018529
Beef,SSP3,1,2050,0.379036059,0.189518029
Beef,SSP3,1,2055,0.380216727,0.189518029
Beef,SSP3,1,2060,0.381328553,0.189518029
Beef,SSP3,1,2065,0.382385881,0.189518029
Beef,SSP3,1,2070,0.38317663,0.189518029
Beef,SSP3,1,2075,0.383749881,0.189518029
Beef,SSP3,1,2080,0.384347624,0.189518029
Beef,SSP3,1,2085,0.384887654,0.189518029
Beef,SSP3,1,2090,0.385437654,0.189518029
Beef,SSP3,1,2095,0.386041219,0.189518029
Beef,SSP3,1,2100,0.386627106,0.189518029
Beef,SSP4,1,2020,0.366521026,0.366521026
Beef,SSP4,1,2025,0.370670765,0.337537739
Beef,SSP4,1,2030,0.374502773,0.308554453
Beef,SSP4,1,2035,0.377886822,0.279571167
Beef,SSP4,1,2040,0.380730182,0.25058788
Beef,SSP4,1,2045,0.383167738,0.221604594
Beef,SSP4,1,2050,0.385242615,0.192621307
Beef,SSP4,1,2055,0.387188155,0.192621307
Beef,SSP4,1,2060,0.389149196,0.192621307
Beef,SSP4,1,2065,0.39116603,0.192621307
Beef,SSP4,1,2070,0.393065582,0.192621307
Beef,SSP4,1,2075,0.394883435,0.192621307
Beef,SSP4,1,2080,0.396830975,0.192621307
Beef,SSP4,1,2085,0.398802338,0.192621307
Beef,SSP4,1,2090,0.400822374,0.192621307
Beef,SSP4,1,2095,0.402911018,0.192621307
Beef,SSP4,1,2100,0.405010494,0.192621307
Beef,SSP5,1,2020,0.366521026,0.366521026
Beef,SSP5,1,2025,0.370987802,0.337846961
Beef,SSP5,1,2030,0.375356836,0.309172897
Beef,SSP5,1,2035,0.37944602,0.280498832
Beef,SSP5,1,2040,0.382972605,0.251824768
Beef,SSP5,1,2045,0.386134392,0.223150703
Beef,SSP5,1,2050,0.388953277,0.194476639
Beef,SSP5,1,2055,0.391680695,0.194476639
Beef,SSP5,1,2060,0.394439893,0.194476639
Beef,SSP5,1,2065,0.397335207,0.194476639
Beef,SSP5,1,2070,0.400277783,0.194476639
Beef,SSP5,1,2075,0.403270796,0.194476639
Beef,SSP5,1,2080,0.406375282,0.194476639
Beef,SSP5,1,2085,0.409532225,0.194476639
Beef,SSP5,1,2090,0.412733542,0.194476639
Beef,SSP5,1,2095,0.416012482,0.194476639
Beef,SSP5,1,2100,0.419395461,0.194476639
Beef,SSP1,2,2020,0.201692571,0.201692571
Beef,SSP1,2,2025,0.21261587,0.19140398
Beef,SSP1,2,2030,0.225516911,0.181115388
Beef,SSP1,2,2035,0.239420053,0.170826796
Beef,SSP1,2,2040,0.253390074,0.160538205
Beef,SSP1,2,2045,0.266983964,0.150249613
Beef,SSP1,2,2050,0.279922043,0.139961021
Beef,SSP1,2,2055,0.292047479,0.139961021
Beef,SSP1,2,2060,0.303282285,0.139961021
Beef,SSP1,2,2065,0.313560952,0.139961021
Beef,SSP1,2,2070,0.322901366,0.139961021
Beef,SSP1,2,2075,0.331388834,0.139961021
Beef,SSP1,2,2080,0.339119696,0.139961021
Beef,SSP1,2,2085,0.346190719,0.139961021
Beef,SSP1,2,2090,0.352674917,0.139961021
Beef,SSP1,2,2095,0.358643667,0.139961021
Beef,SSP1,2,2100,0.364120231,0.139961021
Beef,SSP2,2,2020,0.201692571,0.201692571
Beef,SSP2,2,2025,0.210355884,0.189478441
Beef,SSP2,2,2030,0.219264735,0.177264311
Beef,SSP2,2,2035,0.228140056,0.16505018
Beef,SSP2,2,2040,0.237475575,0.15283605
Beef,SSP2,2,2045,0.247096713,0.140621919
Beef,SSP2,2,2050,0.256815577,0.128407789
Beef,SSP2,2,2055,0.266518733,0.128407789
Beef,SSP2,2,2060,0.276119538,0.128407789
Beef,SSP2,2,2065,0.285528653,0.128407789
Beef,SSP2,2,2070,0.294668219,0.128407789
Beef,SSP2,2,2075,0.303464239,0.128407789
Beef,SSP2,2,2080,0.311884912,0.128407789
Beef,SSP2,2,2085,0.319929596,0.128407789
Beef,SSP2,2,2090,0.327611444,0.128407789
Beef,SSP2,2,2095,0.334923552,0.128407789
Beef,SSP2,2,2100,0.341860943,0.128407789
Beef,SSP3,2,2020,0.201692571,0.201692571
Beef,SSP3,2,2025,0.208195705,0.187482151
Beef,SSP3,2,2030,0.213655118,0.17327173
Beef,SSP3,2,2035,0.218279675,0.15906131
Beef,SSP3,2,2040,0.223068261,0.14485089
Beef,SSP3,2,2045,0.227967634,0.130640469
Beef,SSP3,2,2050,0.232860097,0.116430049
Beef,SSP3,2,2055,0.237842737,0.116430049
Beef,SSP3,2,2060,0.242936915,0.116430049
Beef,SSP3,2,2065,0.248142774,0.116430049
Beef,SSP3,2,2070,0.2533724,0.116430049
Beef,SSP3,2,2075,0.258523751,0.116430049
Beef,SSP3,2,2080,0.263496331,0.116430049
Beef,SSP3,2,2085,0.268297794,0.116430049
Beef,SSP3,2,2090,0.272947655,0.116430049
Beef,SSP3,2,2095,0.277447673,0.116430049
Beef,SSP3,2,2100,0.281801365,0.116430049
Beef,SSP4,2,2020,0.201692571,0.201692571
