; default emissions and input from SSP245 these are Hector inputs not provided by GCAM and do not vary with scenario,,,,,,,,,,,,,,,,,,,,
; commit eb2b79f43a291af,,,,,,,,,,,,,,,,,,,,
; date Tue Sep  2 11:44:20 2025,,,,,,,,,,,,,,,,,,,,
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
1838,0.024856862,0,0,0,0,0,104.85548,0,4263.5362,219.3225761,0,0,0,0,9.218670202,-0.024632319,0.033355019,0.007723273,0,0
1839,0.024856862,0,0,0,0,0,104.83788,0,4262.6108,219.5084542,0,0,0,0,9.221271157,-0.025128925,0.134507634,0.007723273,0,0
1840,0.024856862,0,0,0,0,0,104.80755,0,4261.0163,220.4045624,0,0,0,0,9.208353326,-0.025625531,0.168542631,0.007723273,0,0
1841,0.024856862,0,0,0,0,0,104.84789,0,4263.137,220.8738003,0,0,0,0,9.219415795,-0.026145023,0.179977936,0.007723273,0,0
1842,0.024856862,0,0,0,0,0,104.84034,0,4262.7403,221.5236191,0,0,0,0,9.230663301,-0.026688925,0.183819296,0.007723273,0,0
1843,0.024856862,0,0,0,0,0,104.85726,0,4263.6297,223.5432859,0,0,0,0,9.225926066,-0.027232827,0.185109659,0.007723273,0,0
1844,0.024856862,0,0,0,0,0,104.85117,0,4263.3094,225.6060288,0,0,0,0,9.21725791,-0.027776729,0.1855431,0.007723273,0,0
1845,0.024856862,0,0,0,0,0,104.83257,0,4262.3319,225.0582828,0,0,0,0,9.221488152,-0.028320631,0.185688705,0.007723273,0,0
1846,0.024856862,0,0,0,0,0,104.82423,0,4261.8933,224.2539762,0,0,0,0,9.209476342,-0.028864533,0.003535562,0.007723273,0,0
1847,0.024856862,0,0,0,0,0,104.82758,0,4262.0693,221.4609881,0,0,0,0,9.190755057,-0.029408436,0.059861508,0.007723273,0,0
1848,0.024856862,0,0,0,0,0,104.78829,0,4260.004,219.2735077,0,0,0,0,9.19795355,-0.029952338,0.140529989,0.007723273,0,0
1849,0.024856862,0,0,0,0,0,104.81678,0,4261.5016,219.2623546,0,0,0,0,9.19323209,-0.030553012,0.170434577,0.007723273,0,0
1850,0.024856862,0,0,0,0,0,104.93295,0,4267.6083,218.5829386,0,0,0,0,9.502226084,-0.03125688,0.180745975,0.007723273,0,0
